sentid	pairid	contextid	lemma	condition	comparison	sentence	ROI
1	1	1	burst	overt_object	unexpected	As the gangster shot the woman burst into hysterics	6
2	1	1	burst	overt_object	expected	As the gangster shot his gun the woman burst into hysterics	8
3	2	1	burst	overt_object	unexpected	As the gangster shot , the woman burst into hysterics	7
4	2	1	burst	overt_object	expected	As the gangster shot his gun , the woman burst into hysterics	9
5	3	1	took	overt_object	unexpected	When the dog scratched the vet took off the muzzle	6
6	3	1	took	overt_object	expected	When the dog scratched his owner the vet took off the muzzle	8
7	4	1	took	overt_object	unexpected	When the dog scratched , the vet took off the muzzle	7
8	4	1	took	overt_object	expected	When the dog scratched his owner , the vet took off the muzzle	9
9	5	1	remained	overt_object	unexpected	As the ship sailed the waters remained blue and calm	6
10	5	1	remained	overt_object	expected	As the ship sailed the sea the waters remained blue and calm	8
11	6	1	remained	overt_object	unexpected	As the ship sailed , the waters remained blue and calm	7
12	6	1	remained	overt_object	expected	As the ship sailed the sea , the waters remained blue and calm	9
13	7	1	lit	overt_object	unexpected	After the pilgrims begged the Indians lit a peace pipe	6
14	7	1	lit	overt_object	expected	After the pilgrims begged for water the Indians lit a peace pipe	8
15	8	1	lit	overt_object	unexpected	After the pilgrims begged , the Indians lit a peace pipe	7
16	8	1	lit	overt_object	expected	After the pilgrims begged for water , the Indians lit a peace pipe	9
17	9	1	refused	overt_object	unexpected	Though the swimmer phoned the coach refused to congratulate him	6
18	9	1	refused	overt_object	expected	Though the swimmer phoned his fan the coach refused to congratulate him	8
19	10	1	refused	overt_object	unexpected	Though the swimmer phoned , the coach refused to congratulate him	7
20	10	1	refused	overt_object	expected	Though the swimmer phoned his fan , the coach refused to congratulate him	9
21	11	1	rested	overt_object	unexpected	While the crowd applauded the performer rested backstage	6
22	11	1	rested	overt_object	expected	While the crowd applauded the cast the performer rested backstage	8
23	12	1	rested	overt_object	unexpected	While the crowd applauded , the performer rested backstage	7
24	12	1	rested	overt_object	expected	While the crowd applauded the cast , the performer rested backstage	9
25	13	1	waved	overt_object	unexpected	While the audience cheered the magician waved his baton	6
26	13	1	waved	overt_object	expected	While the audience cheered the show the magician waved his baton	8
27	14	1	waved	overt_object	unexpected	While the audience cheered , the magician waved his baton	7
28	14	1	waved	overt_object	expected	While the audience cheered the show , the magician waved his baton	9
29	15	1	were	overt_object	unexpected	While the students gobbled the desserts were removed	6
30	15	1	were	overt_object	expected	While the students gobbled the food the desserts were removed	8
31	16	1	were	overt_object	unexpected	While the students gobbled , the desserts were removed	7
32	16	1	were	overt_object	expected	While the students gobbled the food , the desserts were removed	9
33	17	1	lost	overt_object	unexpected	When the instructor taught the visitors lost interest	6
34	17	1	lost	overt_object	expected	When the instructor taught the students the visitors lost interest	8
35	18	1	lost	overt_object	unexpected	When the instructor taught , the visitors lost interest	7
36	18	1	lost	overt_object	expected	When the instructor taught the students , the visitors lost interest	9
37	19	1	stayed	overt_object	unexpected	Because the crying baby clutched the woman stayed until the end	7
38	19	1	stayed	overt_object	expected	Because the crying baby clutched the blanked the woman stayed until the end	9
39	20	1	stayed	overt_object	unexpected	Because the crying baby clutched , the woman stayed until the end	8
40	20	1	stayed	overt_object	expected	Because the crying baby clutched the blanked , the woman stayed until the end	10
41	21	1	began	overt_object	unexpected	Although the manager booed the comedian began his act	6
42	21	1	began	overt_object	expected	Although the manager booed the opener the comedian began his act	8
43	22	1	began	overt_object	unexpected	Although the manager booed , the comedian began his act	7
44	22	1	began	overt_object	expected	Although the manager booed the opener , the comedian began his act	9
45	23	1	told	overt_object	unexpected	After the patient asked the nurse told her the news	6
46	23	1	told	overt_object	expected	After the patient asked for medicine the nurse told her the news	8
47	24	1	told	overt_object	unexpected	After the patient asked , the nurse told her the news	7
48	24	1	told	overt_object	expected	After the patient asked for medicine , the nurse told her the news	9
49	25	1	jumped	overt_object	unexpected	After the lifeguard visited the swimmers jumped into the pond	6
50	25	1	jumped	overt_object	expected	After the lifeguard visited the children the swimmers jumped into the pond	8
51	26	1	jumped	overt_object	unexpected	After the lifeguard visited , the swimmers jumped into the pond	7
52	26	1	jumped	overt_object	expected	After the lifeguard visited the children , the swimmers jumped into the pond	9
53	27	1	went	overt_object	unexpected	After the rooster woke the farmer went to the hen house	6
54	27	1	went	overt_object	expected	After the rooster woke the family the farmer went to the hen house	8
55	28	1	went	overt_object	unexpected	After the rooster woke , the farmer went to the hen house	7
56	28	1	went	overt_object	expected	After the rooster woke the family , the farmer went to the hen house	9
57	29	1	asked	overt_object	unexpected	As the class contemplated the teacher asked a question	6
58	29	1	asked	overt_object	expected	As the class contemplated the problem the teacher asked a question	8
59	30	1	asked	overt_object	unexpected	As the class contemplated , the teacher asked a question	7
60	30	1	asked	overt_object	expected	As the class contemplated the problem , the teacher asked a question	9
