sentid	pairid	contextid	lemma	condition	comparison	sentence	ROI
1	1	1	remain	MVRR	unexpected	The woman brought the sandwich from the kitchen fell in the dining room	6
2	1	1	remain	MVRR	expected	The woman who was brought the sandwich from the kitchen fell in the dining room	6
3	2	1	remain	MVRR	unexpected	The woman given the sandwich from the kitchen fell in the dining room	6
4	2	1	remain	MVRR	expected	The woman who was given the sandwich from the kitchen fell in the dining room	6
5	3	1	remain	MVRR	unexpected	The convict walked into the dark cell tried to escape but failed	6
6	3	1	remain	MVRR	expected	The convict who was walked into the dark cell tried to escape but failed	6
7	4	1	remain	MVRR	unexpected	The convict taken into the dark cell tried to escape but failed	6
8	4	1	remain	MVRR	expected	The convict who was taken into the dark cell tried to escape but failed	6
9	5	1	remain	MVRR	unexpected	The prisoners hit for hours and hours confessed to crimes they never committed	6
10	5	1	remain	MVRR	expected	The prisoners who were hit for hours and hours confessed to crimes they never committed	6
11	6	1	remain	MVRR	unexpected	The prisoners beaten for hours and hours confessed to crimes they never committed	6
12	6	1	remain	MVRR	expected	The prisoners who were beaten for hours and hours confessed to crimes they never committed	6
13	7	1	remain	MVRR	unexpected	The business expanded into an empire was sold for billions of dollars	6
14	7	1	remain	MVRR	expected	The business that was expanded into an empire was sold for billions of dollars	6
15	8	1	remain	MVRR	unexpected	The business grown into an empire was sold for billions of dollars	6
16	8	1	remain	MVRR	expected	The business that was grown into an empire was sold for billions of dollars	6
17	9	1	remain	MVRR	unexpected	The lawyer pledged to keep silent was discovered to have broken his promise	6
18	9	1	remain	MVRR	expected	The lawyer that was pledged to keep silent was discovered to have broken his promise	6
19	10	1	remain	MVRR	unexpected	The lawyer committed to keep silent was discovered to have broken his promise	6
20	10	1	remain	MVRR	expected	The lawyer who was committed to keep silent was discovered to have broken his promise	6
21	11	1	remain	MVRR	unexpected	The child kicked in the chaos found her way back home	6
22	11	1	remain	MVRR	expected	The child who was kicked in the chaos found her way back home	6
23	12	1	remain	MVRR	unexpected	The child forgotten in the chaos found her way back home	6
24	12	1	remain	MVRR	expected	The child who was forgotten in the chaos found her way back home	6
25	13	1	remain	MVRR	unexpected	The horses raced past the barn fell into a swamp	6
26	13	1	remain	MVRR	expected	The horses that were raced past the barn fell into a swamp	6
27	14	1	remain	MVRR	unexpected	The horses taken past the barn fell into a swamp	6
28	14	1	remain	MVRR	expected	The horses that were taken past the barn fell into a swamp	6
29	15	1	remain	MVRR	unexpected	The artist painted a impressionist portrait was impressed with the work	6
30	15	1	remain	MVRR	expected	The artist who was painted a impressionist portrait was impressed with the work	6
31	16	1	remain	MVRR	unexpected	The artist drawn a impressionist portrait was impressed with the work	6
32	16	1	remain	MVRR	expected	The artist who was drawn a impressionist portrait was impressed with the work	6
33	17	1	remain	MVRR	unexpected	The car steered into the parking lot crashed into a concrete wall	6
34	17	1	remain	MVRR	expected	The car that was steered into the parking lot crashed into a concrete wall	6
35	18	1	remain	MVRR	unexpected	The car driven into the parking lot crashed into a concrete wall	6
36	18	1	remain	MVRR	expected	The car that was driven into the parking lot crashed into a concrete wall	6
37	19	1	remain	MVRR	unexpected	The campaign intended to be very popular was still unsuccessful	6
38	19	1	remain	MVRR	expected	The campaign that was intended to be very popular was still unsuccessful	6
39	20	1	remain	MVRR	unexpected	The campaign known to be very popular was still unsuccessful	6
40	20	1	remain	MVRR	expected	The campaign that was known to be very popular was still unsuccessful	6
41	21	1	remain	MVRR	unexpected	The student composed a carefully worded excuse forgot to give it to the teacher	6
42	21	1	remain	MVRR	expected	The student who was composed a carefully worded excuse forgot to give it to the teacher	6
43	22	1	remain	MVRR	unexpected	The student written a carefully worded excuse forgot to give it to the teacher	6
44	22	1	remain	MVRR	expected	The student who was written a carefully worded excuse forgot to give it to the teacher	6
45	23	1	remain	MVRR	unexpected	The television show started three weeks ago was canceled immediately	6
46	23	1	remain	MVRR	expected	The television show that was started three weeks ago was canceled immediately	6
47	24	1	remain	MVRR	unexpected	The television show begun three weeks ago was canceled immediately	6
48	24	1	remain	MVRR	expected	The television show that was begun three weeks ago was canceled immediately	6
49	25	1	remain	MVRR	unexpected	The boys performed an unsolicited favor appreciated the person who helped them	6
50	25	1	remain	MVRR	expected	The boys who were performed an unsolicited favor appreciated the person who helped them	6
51	26	1	remain	MVRR	unexpected	The boys done an unsolicited favor appreciated the person who helped them	6
52	26	1	remain	MVRR	expected	The boys who were done an unsolicited favor appreciated the person who helped them	6
53	27	1	remain	MVRR	unexpected	The player tossed the baseball dropped it on the ground	6
54	27	1	remain	MVRR	expected	The player who was tossed the baseball dropped it on the ground	6
55	28	1	remain	MVRR	unexpected	The player thrown the baseball dropped it on the ground	6
56	28	1	remain	MVRR	expected	The player who was thrown the baseball dropped it on the ground	6
