sentid	pairid	contextid	lemma	condition	comparison	sentence	ROI
1	1	1	shot	overt_object	unexpected	As the gangster shot the woman burst into hysterics	4
2	1	1	shot	overt_object	expected	As the gangster shot his gun the woman burst into hysterics	4
3	2	1	shot	overt_object	unexpected	As the gangster shot , the woman burst into hysterics	4
4	2	1	shot	overt_object	expected	As the gangster shot his gun , the woman burst into hysterics	4
5	3	1	scratched	overt_object	unexpected	When the dog scratched the vet took off the muzzle	4
6	3	1	scratched	overt_object	expected	When the dog scratched his owner the vet took off the muzzle	4
7	4	1	scratched	overt_object	unexpected	When the dog scratched , the vet took off the muzzle	4
8	4	1	scratched	overt_object	expected	When the dog scratched his owner , the vet took off the muzzle	4
9	5	1	sailed	overt_object	unexpected	As the ship sailed the waters remained blue and calm	4
10	5	1	sailed	overt_object	expected	As the ship sailed the sea the waters remained blue and calm	4
11	6	1	sailed	overt_object	unexpected	As the ship sailed , the waters remained blue and calm	4
12	6	1	sailed	overt_object	expected	As the ship sailed the sea , the waters remained blue and calm	4
13	7	1	begged	overt_object	unexpected	After the pilgrims begged the Indians lit a peace pipe	4
14	7	1	begged	overt_object	expected	After the pilgrims begged for water the Indians lit a peace pipe	4
15	8	1	begged	overt_object	unexpected	After the pilgrims begged , the Indians lit a peace pipe	4
16	8	1	begged	overt_object	expected	After the pilgrims begged for water , the Indians lit a peace pipe	4
17	9	1	phoned	overt_object	unexpected	Though the swimmer phoned the coach refused to congratulate him	4
18	9	1	phoned	overt_object	expected	Though the swimmer phoned his fan the coach refused to congratulate him	4
19	10	1	phoned	overt_object	unexpected	Though the swimmer phoned , the coach refused to congratulate him	4
20	10	1	phoned	overt_object	expected	Though the swimmer phoned his fan , the coach refused to congratulate him	4
21	11	1	applauded	overt_object	unexpected	While the crowd applauded the performer rested backstage	4
22	11	1	applauded	overt_object	expected	While the crowd applauded the cast the performer rested backstage	4
23	12	1	applauded	overt_object	unexpected	While the crowd applauded , the performer rested backstage	4
24	12	1	applauded	overt_object	expected	While the crowd applauded the cast , the performer rested backstage	4
25	13	1	cheered	overt_object	unexpected	While the audience cheered the magician waved his baton	4
26	13	1	cheered	overt_object	expected	While the audience cheered the show the magician waved his baton	4
27	14	1	cheered	overt_object	unexpected	While the audience cheered , the magician waved his baton	4
28	14	1	cheered	overt_object	expected	While the audience cheered the show , the magician waved his baton	4
29	15	1	gobbled	overt_object	unexpected	While the students gobbled the desserts were removed	4
